cognateset_ids,n_cognatesets,root_forms,root_languages
80 | 488 | 2364 | 2365,4,*gʷerH- | *gʷerH- | *gʷerH- | *gʷerH-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
210 | 6370 | 6775 | 7363,4,*h₁ed- | *h₁ed- | *h₁ed- | *h₁ed-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
280 | 1361 | 1372 | 6380,4,nan | *taug- | *deu̯k- | *deu̯k-,nan | Proto-Germanic | Proto-Indo-European | Proto-Indo-European
151 | 503 | 672 | 3138,4,*dregʰ- | *déru- ~ *dóru- ~ *dru- | antaṙ,Proto-Indo-European | Proto-Indo-European | Armenian: Classical
1583 | 1892 | 6321 | 6715,4,?*kʷu̯ap- | nan | ?*kʷu̯ap- | ?*kʷu̯ap-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European
663 | 1875 | 2394 | 5084,4,*i̯uHr- | *i̯uHr- | *u̯eh₁- | *u̯eh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
53 | 2457 | 3385 | 7223,4,*k̑er- | *k̑er- | *k̑er- | *k̑er-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
986 | 3136 | 5122 | 7756,4,*kelh₂- | nan | *kelh₂- | *kelh₂-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European
875 | 1462 | 1519 | 5287,4,*peh₂u̯- | *peh₂u̯- | *peh₂u̯- | *peh₂u̯-,nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
12 | 98 | 4407 | 6758,4,*ćau̯k- | *ćau̯k- | *ćau̯k- | *ćau̯k-,Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic
968 | 6472 | 8364 | 8497,4,*leh₃u̯-  | nan | *leh₃u̯- | *leh₃u̯-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European
867 | 1085 | 4344 | 4358,4,*sek- | nan | secc | [siccus],Proto-Indo-European | nan | Old Irish | Brythonic
1168 | 1641 | 3190 | 3679,4,?*pē(n)s- | ?*pē(n)s- | ?*pē(n)s- | ?*pē(n)s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1192 | 2273 | 6359 | 7095,4,?*(s)k⁽ʷ⁾rei̯- | ?*(s)k⁽ʷ⁾rei̯- | ?*(s)k⁽ʷ⁾rei̯- | ?*(s)k⁽ʷ⁾rei̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1277 | 2986 | 3151 | 6366,4,*dʰeh₁(i̯)- | *dʰeh₁(i)- | *dʰeh₁(i̯)- | *dʰeh₁(i̯)-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
45 | 245 | 5932 | 8137,4,*ai̯xa- | *īsa- | *ai̯xa- | *ai̯xa-,Proto-Iranic | Proto-Germanic | Proto-Iranic | Proto-Iranic
1233 | 1256 | 2588 | 4819,4,*reu̯H- | *reu̯H- | *reu̯H- | *reu̯H-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1545 | 6083 | 6232 | 6242,4,ξύλον / ksýlon | *ksúlo- | *ksúlo- | *perh₃-,Greek: Ancient | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
700 | 5101 | 7386 | 9162,4,*(s)per- | *(s)per- | *(s)per- | *(s)per-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
520 | 870 | 1337 | 8048,4,*ters- | *ters- | nan | *ters-,Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European
2156 | 2789 | 4076 | 6464,4,*kok̑s- | *kok̑s- | *kok̑s- | *kok̑s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2793 | 5053 | 5083 | 7443,4,*h₂u̯es- | *h₂u̯es- | *h₂u̯es- | *h₂u̯es-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2924 | 5273 | 6261,3,ἴσος / ísos | ἴσος / ísos | ἴσος / ísos,Greek: Ancient | Greek: Ancient | Greek: Ancient
223 | 252 | 5299,3,*bʰleh₃- | *bʰleh₃- | *bʰleh₃-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
228 | 5345 | 7227,3,*gʰebʰ- | ?*⁽g̑⁾ʰeHb- | *gʰebʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
79 | 1156 | 1421,3,*méh₂ter- | mama,Proto-Indo-European | nan
5037 | 5259 | 7072,3,*kʷer- | *kʷer- | *kʷer-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1246 | 2062 | 5003,3,*xvost- | *x(v)ot- | *x(v)ot-,Proto-Slavic | Proto-Slavic | Proto-Slavic
86 | 1563 | 5912,3,*neu̯- | *neu̯- | *neu̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
5371 | 6020 | 8318,3,φυσάω / physáō | φυσάω / physáō | φούσκα / phoúska,Greek: Ancient | Greek: Ancient | nan
196 | 881 | 6560,3,*⁽g̑⁾el- | *⁽g̑⁾el- | *⁽g̑⁾el-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
4547 | 5081 | 7587,3,*či̯aH- | *či̯aH- | *či̯aH-,Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic
4401 | 6970 | 7320,3,*(h₁)rei̯k⁽ʷ⁾h₂- | *(h₁)rei̯k⁽ʷ⁾h₂- | *(h₁)rei̯k⁽ʷ⁾(h₂)-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
175 | 748 | 965,3,nan | *sol-u̯o- | nan,nan | Proto-Indo-European | nan
157 | 7856 | 9686,3,*h₂ep- | *h₂ep- | *h₂ep-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
145 | 2432 | 4531,3,*tú ~ *t(u̯)e- | yuṣmad-/um- | yuṣmad-/um-,Proto-Indo-European | Sanskrit/Tamil? | Sanskrit/Tamil?
6183 | 8480 | 9342,3,*h₁eu̯s- | *h₁eu̯s- | *h₁eu̯s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
437 | 4583 | 5107,3,*mē(m)s- | *mē(m)s- | *mē(m)s-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
509 | 1030 | 8678,3,*seh₁- | *seh₁- | *seh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
449 | 1499 | 2316,3,*h₂ner- | *h₂nēr- | *h₂ner-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
313 | 2214 | 2987,3,*seu̯k̑- | nan,nan | nan
324 | 3016 | 5822,3,*(H)i̯u(H)- ~ *u̯os | *(H)i̯u(H)- ~ *u̯os,Proto-Indo-European | Proto-Indo-European
3230 | 5086 | 7796,3,*čárman- | *(s)ker- | *(s)ker-,Proto-Indo-Iranic | Proto-Indo-European | Proto-Indo-European
360 | 7342 | 8382,3,*meg̑- | *meg̑- | *meg̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
